"","danceability","energy","loudness","tempo","valence"
"1",0.496,0.682,-4.095,167.06,0.474
"2",0.542,0.853,-6.407,105.256,0.37
"3",0.737,0.463,-7.828,123.881,0.324
"4",0.451,0.97,-4.938,122.444,0.198
"5",0.447,0.766,-5.065,172.011,0.574
"6",0.316,0.945,-3.169,189.931,0.32
"7",0.581,0.887,-3.659,90.578,0.724
"8",0.613,0.953,-3.435,105.046,0.537
"9",0.33,0.936,-3.66,148.112,0.234
"10",0.542,0.905,-5.653,153.398,0.374
"11",0.629,0.897,-3.401,161.944,0.93
"12",0.496,0.863,-4.153,110.018,0.243
"13",0.647,0.964,-4.225,126.942,0.875
"14",0.618,0.938,-3.442,91.455,0.875
"15",0.42,0.929,-3.899,127.204,0.3
"16",0.278,0.676,-8.821,104.545,0.494
"17",0.659,0.778,-6.423,110.022,0.623
"18",0.37,0.944,-4.979,130.315,0.345
"19",0.567,0.795,-4.985,170.06,0.635
"20",0.545,0.865,-5.708,99.01,0.543
"21",0.309,0.912,-3.881,183.035,0.302
"22",0.276,0.715,-5.356,137.028,0.173
"23",0.518,0.538,-5.818,170.953,0.687
"24",0.58,0.981,-2.603,134.007,0.861
"25",0.602,0.905,-4.046,128.019,0.411
"26",0.657,0.291,-10.572,103.973,0.298
"27",0.44,0.932,-4.488,157.438,0.495
"28",0.38,0.988,-2.042,186.113,0.769
"29",0.217,0.905,-4.103,96.95,0.236
"30",0.714,0.725,-6.411,99.988,0.59
"31",0.582,0.597,-5.671,167.738,0.674
"32",0.614,0.568,-5.477,107.849,0.516
"33",0.509,0.774,-4.054,116.529,0.0824
"34",0.498,0.83,-5.157,89.342,0.453
"35",0.599,0.932,-3.328,96.234,0.692
"36",0.574,0.911,-5.176,98.075,0.573
"37",0.433,0.959,-4.04,172.984,0.365
"38",0.549,0.93,-3.468,112.447,0.526
"39",0.656,0.932,-3.405,130.936,0.544
"40",0.499,0.824,-4.741,161.977,0.699
"41",0.624,0.899,-5.71,104.055,0.797
